model,reference_date,horizon,target_end_date,target_group,output_type,output_type_id,value
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.01,45
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.025,55
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.05,66
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.1,77
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.15,80
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.2,87
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.25,91
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.3,94
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.35,98
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.4,101
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.45,103
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.5,106
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.55,109
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.6,111
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.65,115
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.7,119
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.75,122
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.8,127
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.85,135
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.9,140
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.95,156
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.975,173
Regular Baseline,5/23/2026,-2,5/9/2026,Adults,quantile,0.99,191
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.01,31
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.025,41
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.05,51
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.1,63
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.15,71
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.2,77
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.25,82
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.3,88
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.35,92
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.4,97
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.45,102
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.5,106
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.55,110
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.6,115
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.65,120
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.7,126
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.75,132
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.8,139
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.85,147
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.9,160
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.95,180
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.975,202
Regular Baseline,5/23/2026,-1,5/16/2026,Adults,quantile,0.99,227
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.01,22
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.025,33
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.05,42
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.1,54
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.15,63
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.2,71
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.25,78
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.3,84
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.35,90
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.4,95
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.45,101
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.5,106
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.55,112
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.6,118
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.65,124
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.7,131
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.75,139
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.8,149
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.85,160
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.9,175
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.95,200
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.975,222
Regular Baseline,5/23/2026,0,5/23/2026,Adults,quantile,0.99,250
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.01,14
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.025,24
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.05,33
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.1,47
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.15,56
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.2,65
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.25,72
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.3,79
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.35,86
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.4,93
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.45,99
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.5,106
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.55,113
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.6,119
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.65,127
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.7,135
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.75,145
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.8,155
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.85,168
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.9,186
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.95,214
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.975,241
Regular Baseline,5/23/2026,1,5/30/2026,Adults,quantile,0.99,282
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.01,9
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.025,18
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.05,28
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.1,41
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.15,51
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.2,61
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.25,69
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.3,76
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.35,83
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.4,91
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.45,98
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.5,106
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.55,114
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.6,121
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.65,130
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.7,139
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.75,150
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.8,163
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.85,177
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.9,196
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.95,230
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.975,256
Regular Baseline,5/23/2026,2,6/6/2026,Adults,quantile,0.99,307
Regular Baseline,5/23/2026,3,6/13/2026,Adults,quantile,0.01,6
Regular Baseline,5/23/2026,3,6/13/2026,Adults,quantile,0.025,14
Regular Baseline,5/23/2026,3,6/13/2026,Adults,quantile,0.05,24
