model,reference_date,horizon,target_end_date,target_group,output_type,output_type_id,value
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.01,40
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.025,49
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.05,59
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.1,69
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.15,72
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.2,78
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.25,83
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.3,85
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.35,89
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.4,92
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.45,94
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.5,97
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.55,100
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.6,102
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.65,106
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.7,109
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.75,112
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.8,118
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.85,125
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.9,130
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.95,145
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.975,162
Regular Baseline,5/16/2026,-3,4/25/2026,Adults,quantile,0.99,179
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.01,26
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.025,36
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.05,45
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.1,56
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.15,63
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.2,69
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.25,74
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.3,80
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.35,84
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.4,89
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.45,93
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.5,97
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.55,101
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.6,105
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.65,110
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.7,116
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.75,122
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.8,129
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.85,137
Regular Baseline,5/16/2026,-2,5/2/2026,Adults,quantile,0.9,148
